Title,Metascore,Userscore
Cowboys and Aliens,N/A,N/A
Aquaman,55,6.7
Shrek the Third,58,5.7
Kingdom of the Planet of the Apes,66,7.1
Poseidon,50,6.0
Warcraft,32,8.1
Haunted Mansion,47,4.6
Deepwater Horizon,68,7.3
Twisters,65,6.3
Godzilla vs. Kong,59,6.8
Terminator: Genisys,38,5.9
Pacific Rim: Uprising,44,4.7
Alexander,40,5.7
War for the Planet of the Apes,82,7.9
Barbie,80,5.7
Frozen II,64,6.7
Frozen,43,6.0
The Matrix Reloaded,62,7.5
I am Legend,65,7.3
Hancock,49,6.2
Charlie and the Chocolate Factory,72,6.7
Thor: The Dark World,54,6.8
Thor,57,7.0
Kung Fu Panda,74,8.3
The Matrix Revolutions,47,6.6
Chicken Little,48,5.2
Troy,56,7.6
Bee Movie,54,6.3
Bolt,67,7.2
Wrath of the Titans,37,5.2
Beowulf,59,6.1
Dark Shadows,55,5.9
White House Down,52,5.9
Space Jam: A New Legacy,36,3.5
The Great Wall,42,5.7
Mars Needs Moms,49,4.3
Moonfall,41,4.4
Red Notice,37,6.0
Beverly Hills Cop: Axel F,53,6.8
Flushed Away,74,6.6
Die Another Day,56,5.5
Armageddon,42,6.2
Captain America: The First Avenger,66,7.2
Lethal Weapon,68,7.8
G.I. Joe: Retaliation,41,5.3
Exodus: Gods and Kings,52,4.9
The BFG,66,6.0
Gemini Man,38,5.3
Gods of Egypt,25,4.6
Desert Warrior,N/A,N/A
Stealth,35,5.5
The Incredible Hulk,61,6.8
Hulk,54,5.5
Final Fantasy: The Spirits Within,49,5.9
Godzilla x Kong: The New Empire,47,6.8
The Croods,55,7.1
Rango,75,7.6
Master and Commander: The Far Side of the World,81,7.8
Turbo,58,6.3
Teenage Mutant Ninja Turtles: Out of the Shadows,N/A,N/A
Happy Feet Two,50,5.5
Miami Vice,66,5.7
Strange World,65,3.6
The Nutcracker and the Four Realms,39,4.7
War of the Worlds,73,6.9
Penguins of Madagascar,53,6.7
The Hunger Games: Catching Fire,76,7.9
AntMan,N/A,N/A
Mary Poppins Returns,66,6.6
Puss in Boots,65,7.2
Megamind,63,7.7
Bad Boys II,38,6.6
Rio,63,7.2
Salt,65,6.3
Noah,68,5.4
The Adventures of Tintin,68,7.6
After Earth,33,3.7
Australia,53,6.4
R.I.P.D.,25,4.6
How to Train Your Dragon: The Hidden World,71,8.0
Dinosaur,56,6.9
Night at the Museum: Secret of the Tomb,47,6.0
Harry Potter and the Deathly Hallows: Part II,N/A,N/A
Harry Potter and the Sorcerers Stone,65,7.9
Jumanji: The Next Level,58,6.4
Harry Potter and the Deathly Hallows: Part I,65,7.6
Wonka,66,6.8
XMen,N/A,N/A
Fast Five,66,7.5
Teenage Mutant Ninja Turtles,31,5.1
Teenage Mutant Ninja Turtles,31,5.1
Sherlock Holmes: A Game of Shadows,48,7.4
The Boss Baby,50,5.2
Clash of the Titans,39,5.1
Clash of the Titans,39,5.1
Trolls,55,6.4
Prometheus,64,6.5
The Bourne Legacy,61,6.1
The Fall Guy,73,6.7
Skyscraper,51,5.4
Total Recall,60,8.0
Total Recall,60,8.0
Shazam Fury of the Gods,N/A,N/A
Assassins Creed,36,5.9
How the Grinch Stole Christmas,46,6.5
Mission: Impossible,59,7.3
The Perfect Storm,59,6.1
Jason Bourne,58,6.4
Uncharted,45,6.1
Fantastic Four: Rise of the Silver Surfer,45,5.2
Ghost Rider,35,5.0
Rampage,45,5.7
Elysium,61,6.7
Oblivion,54,7.0
Blue Beetle,61,5.8
Stuart Little,61,6.5
RoboCop,70,8.3
RoboCop,70,8.3
The Fantastic Four,27,2.8
Speed Racer,37,7.0
The Island,50,6.3
The Island,50,6.3
How Do You Know,46,4.0
Outlaw King,59,7.2
Knight and Day,46,6.3
Venom,25,5.0
Venom,25,5.0
Monsters Inc.,79,8.6
Dantes Peak,43,6.1
The Huntsman: Winters War,35,5.2
Windtalkers,51,6.3
Triple Frontier,61,6.8
Ferdinand,58,6.8
Night at the Museum,48,6.5
Venom: Let There be Carnage,49,5.6
Mr. and Mrs. Smith,N/A,N/A
San Andreas,43,5.6
The Smurfs,30,4.5
Live Free or Die Hard,69,7.3
The Divergent Series: Insurgent,42,5.5
Tomorrow Never Dies,52,6.7
The Patriot,63,7.2
IF,tbd,tbd
Passengers,40,6.3
Miss Peregrines Home for Peculiar Children,57,6.6
Real Steel,56,7.2
Men in Black: International,38,4.2
The Divergent Series: Allegiant,33,4.3
Enders Game,51,6.5
Home on the Range,50,5.7
Kingdom of Heaven,63,7.6
Venom: The Last Dance,tbd,tbd
Ali,65,6.7
Allied,60,6.6
I Robot,59,7.2
The Princess and the Frog,73,7.3
Ice Age: Collision Course,34,4.4
Starship Troopers,52,8.0
Kingsman: The Golden Circle,44,6.4
The Hangover,73,7.6
A Wrinkle in Time,53,2.9
Public Enemies,70,6.8
Bumblebee,66,6.9
Cloud Atlas,55,7.9
The Super Mario Bros. Movie,46,8.2
Despicable Me,72,7.6
Beetlejuice Beetlejuice,62,6.3
Bad Boys: Ride or Die,54,6.1
Batman Forever,54,5.3
National Treasure,40,6.8
Little Fockers,27,4.3
True Lies,63,7.5
Cloudy with a Chance of Meatballs,66,7.5
Ghostbusters: Frozen Empire,46,5.5
Epic,N/A,N/A
Eraser,56,6.5
The Expendables,45,6.4
Where the Wild Things Are,71,6.9
Eragon,38,3.5
The Tourist,37,5.4
End of Days,34,6.1
Surfs Up,64,7.3
Midway,47,6.2
The Deep,41,7.6
Peter Pan,64,7.1
Peter Pan,64,7.1
Wonder Park,45,5.4
Catwoman,27,3.1
West Side Story,86,7.9
West Side Story,86,7.9
The Kings Man,44,5.3
Geostorm,21,4.3
Point Break,34,4.0
Point Break,34,4.0
Cats,32,5.2
In the Heart of the Sea,47,6.8
Fly Me to the Moon,53,6.4
Son of the Mask,20,2.2
Mortal Engines,44,6.0
Chaos Walking,38,5.3
The Adventures of Pluto Nash,12,3.8
The Midnight Sky,58,4.6
Artemis Fowl,31,2.8
The Peanuts Movie,67,7.8
Ford v. Ferrari,81,8.3
Gangs of New York,72,7.6
Alien: Covenant,65,5.8
Cinderella,67,7.0
Cinderella,67,7.0
Ice Age: Continental Drift,49,5.8
Trolls Band Together,53,6.5
Sex and the City,53,5.7
The Campaign,N/A,N/A
Unstoppable,69,7.0
BenHur,N/A,N/A
BenHur,N/A,N/A
Ferrari,73,6.7
Seventh Son,30,4.5
Lara Croft: Tomb Raider,33,5.9
Kingsman: The Secret Service,60,7.9
Jurassic Park III,42,6.0
Rise of the Planet of the Apes,68,7.8
A Good Day to Die Hard,28,4.4
Cutthroat Island,37,6.8
The Secret Life of Walter Mitty,54,7.7
Jumanji: Welcome to the Jungle,58,6.8
Sherlock Holmes,57,7.7
Bad Boys For Life,59,6.5
Ice Age: Dawn of the Dinosaurs,50,7.0
What Lies Beneath,51,6.6
Sonic The Hedgehog,47,8.0
Tropic Thunder,71,7.6
